model_type,reference_type,metric,effect_model_minus_reference,ci95_low,ci95_high,bootstrap_p_two_sided,n_seeds,n_pairs,n_bootstrap,fdr_bh
CNN-Aug,CNN-Raw,prediction_difference,-0.010956040179977816,-0.013282074619213947,-0.008526323217019025,0.0,3,3600,2000,0.0
CNN-Aug,CNN-Raw,attribution_pearson_absolute,0.015619047380272366,0.006790232477790008,0.023959560456155046,0.0,3,300,2000,0.0
CNN-Aug,CNN-Raw,causal_mass_fraction,0.023948561114987763,0.016610630714220108,0.03145574905311055,0.0,3,300,2000,0.0
CNN-Pair,CNN-Raw,prediction_difference,-0.007753066341910097,-0.011777206467361087,-0.002683948535911946,0.003,3,3600,2000,0.0036000000000000003
CNN-Pair,CNN-Raw,attribution_pearson_absolute,0.01938616247380973,0.01001760975662936,0.028397410786917515,0.0,3,300,2000,0.0
CNN-Pair,CNN-Raw,causal_mass_fraction,0.00026120363450525135,-0.009728206377364901,0.011394811598315966,0.993,3,300,2000,0.993
CNN-PostHoc,CNN-Raw,prediction_difference,-0.04883626713417471,-0.05292682287800643,-0.045446503103943534,0.0,3,3600,2000,0.0
CNN-PostHoc,CNN-Raw,attribution_pearson_absolute,0.0699441234336805,0.05706886921501661,0.08374302165385929,0.0,3,300,2000,0.0
CNN-PostHoc,CNN-Raw,causal_mass_fraction,0.03489961298783501,0.027019669325992552,0.04163377640528369,0.0,3,300,2000,0.0
CNN-RCPS,CNN-Raw,prediction_difference,-0.04883623715386622,-0.052872780876958535,-0.045410069801663566,0.0,3,3600,2000,0.0
CNN-RCPS,CNN-Raw,attribution_pearson_absolute,0.06994412343252183,0.05674285085931968,0.08427765888127652,0.0,3,300,2000,0.0
CNN-RCPS,CNN-Raw,causal_mass_fraction,0.02958265153560753,-0.03288401101762386,0.07802773054187843,0.337,3,300,2000,0.3676363636363637
