model_type,reference_type,metric,effect_model_minus_reference,ci95_low,ci95_high,bootstrap_p_two_sided,n_seeds,n_pairs,n_bootstrap,fdr_bh
CNN-Aug,CNN-Raw,prediction_difference,-0.1848085682158449,-0.21545548861055105,-0.16247862003480257,0.0,3,3600,2000,0.0
CNN-Aug,CNN-Raw,attribution_pearson_absolute,0.3621114464270104,0.3158328265765112,0.42660587980750847,0.0,3,300,2000,0.0
CNN-Aug,CNN-Raw,causal_mass_fraction,0.07863673325899338,0.02106434767342252,0.14235295545752727,0.0,3,300,2000,0.0
CNN-Pair,CNN-Raw,prediction_difference,-0.20018764081377113,-0.21737039028561977,-0.18443729351090626,0.0,3,3600,2000,0.0
CNN-Pair,CNN-Raw,attribution_pearson_absolute,0.37174668536203254,0.3399776744341317,0.4023769855211646,0.0,3,300,2000,0.0
CNN-Pair,CNN-Raw,causal_mass_fraction,0.08065491227654265,0.05414168078784463,0.1149231172948234,0.0,3,300,2000,0.0
CNN-PostHoc,CNN-Raw,prediction_difference,-0.26381606980922195,-0.27602349883015675,-0.2522424178520143,0.0,3,3600,2000,0.0
CNN-PostHoc,CNN-Raw,attribution_pearson_absolute,0.44847530044065054,0.4171978618304061,0.47877358281600524,0.0,3,300,2000,0.0
CNN-PostHoc,CNN-Raw,causal_mass_fraction,0.09825268673398398,0.04612981381217163,0.1570121086083504,0.0,3,300,2000,0.0
CNN-RCPS,CNN-Raw,prediction_difference,-0.26381604126095126,-0.2765001557994749,-0.25241539222605774,0.0,3,3600,2000,0.0
CNN-RCPS,CNN-Raw,attribution_pearson_absolute,0.44847530044045897,0.4178050853496068,0.478174456954416,0.0,3,300,2000,0.0
CNN-RCPS,CNN-Raw,causal_mass_fraction,0.12614555391711152,0.030328226465026652,0.194135492381111,0.0,3,300,2000,0.0
