model_type,reference_type,metric,effect_model_minus_reference,ci95_low,ci95_high,bootstrap_p_two_sided,n_seeds,n_pairs,n_bootstrap,fdr_bh
CNN-Aug,CNN-Raw,prediction_difference,-0.33439399460928204,-0.3836643360843707,-0.259468078663984,0.0,3,3000,2000,0.0
CNN-Aug,CNN-Raw,attribution_pearson_absolute,0.6945681787982911,0.39739323944942895,0.9152193359027117,0.0,3,300,2000,0.0
CNN-Aug,CNN-Raw,causal_mass_fraction,-0.007667458079869446,-0.012229814127209302,-0.0035890098717400454,0.0,3,300,2000,0.0
CNN-Pair,CNN-Raw,prediction_difference,-0.3293915974398454,-0.37807994431507935,-0.2540975820239323,0.0,3,3000,2000,0.0
CNN-Pair,CNN-Raw,attribution_pearson_absolute,0.6730452135497685,0.3785133318629432,0.8707639823039532,0.0,3,300,2000,0.0
CNN-Pair,CNN-Raw,causal_mass_fraction,-0.005311338160450364,-0.010845004229712569,-0.00035276086807530855,0.039,3,300,2000,0.042545454545454546
CNN-PostHoc,CNN-Raw,prediction_difference,-0.3796917119761929,-0.42688490454705896,-0.3106627338052262,0.0,3,3000,2000,0.0
CNN-PostHoc,CNN-Raw,attribution_pearson_absolute,0.7619182899739889,0.46933875352146154,0.9693342370759334,0.0,3,300,2000,0.0
CNN-PostHoc,CNN-Raw,causal_mass_fraction,-0.007837274716356495,-0.012321005419509803,-0.0036717284154702667,0.0,3,300,2000,0.0
CNN-RCPS,CNN-Raw,prediction_difference,-0.3796916359386717,-0.42506862609965024,-0.30875839336082184,0.0,3,3000,2000,0.0
CNN-RCPS,CNN-Raw,attribution_pearson_absolute,0.7619182899729537,0.47761592788839274,0.9746005798069322,0.0,3,300,2000,0.0
CNN-RCPS,CNN-Raw,causal_mass_fraction,-0.005088295780549688,-0.012705054607057767,0.002646876786190461,0.202,3,300,2000,0.20200000000000004
