model_type,metric,n,mean,std,median,q25,q75,p95
CNN-Aug,motif_start,3,46.95000000000001,8.702335715267317e-15,46.95,46.95,46.95,46.95
CNN-Aug,motif_end,3,54.95000000000001,8.702335715267317e-15,54.95,54.95,54.95,54.95
CNN-Aug,prediction_difference,3,0.0005501774946848129,8.263015235892712e-05,0.0005356878042220638,0.0005057191848754456,0.0005873909592628055,0.0006287534832953988
CNN-Aug,prediction_consistency,3,0.9994498225053152,8.263015235896229e-05,0.9994643121957779,0.9994126090407371,0.9994942808151246,0.9995182557106018
CNN-Aug,attribution_pearson_signed,3,0.9983614291871516,0.0003187767193488446,0.9984349675326034,0.9982236386469658,0.9985359889000632,0.9986168059940311
CNN-Aug,attribution_pearson_absolute,3,0.9985018380030972,0.00030031929201613594,0.9985958228507655,0.9983807945894236,0.998669873840605,0.9987291146324767
CNN-Aug,attribution_spearman_signed,3,0.5655857292866081,0.03729082500680978,0.5779021079747348,0.5507984047476135,0.586531243169666,0.5934345513256108
CNN-Aug,attribution_spearman_absolute,3,0.6944740237889966,0.03929779610554245,0.671844483427283,0.6717854562233554,0.7058478211737809,0.7330504913709792
CNN-Aug,attribution_cosine_signed,3,0.9984823402434145,0.000293819473444109,0.9985507912496321,0.9983555643854599,0.9986433416044781,0.9987173818883549
CNN-Aug,attribution_cosine_absolute,3,0.9986285334063171,0.0002739977120350635,0.9987145648715915,0.9985182045493399,0.9987818779959314,0.9988357284954035
CNN-Aug,attribution_top8_overlap,3,1.0,0.0,1.0,1.0,1.0,1.0
CNN-Aug,attribution_full_matrix_pearson,3,0.9971168836735633,0.00015544073619938803,0.9971495038832369,0.9970486126769035,0.99720146477506,0.9972430334885185
CNN-Aug,attribution_std_absolute,3,3.343542393644651,0.056804391953654894,3.358145025074482,3.319503652304411,3.3748824506998063,3.388272391200066
CNN-Aug,motif_top8_overlap_signed,3,0.995,0.0,0.995,0.995,0.995,0.995
CNN-Aug,motif_mass_fraction_signed,3,0.9566751884472665,0.0029123871633013865,0.957356290948016,0.9554194492122081,0.9582714789326997,0.9590036293204467
CNN-Aug,motif_vs_background_signed,3,12.216603141649308,0.20183104481527261,12.273084715850018,12.132816507255775,12.328630563143196,12.373067240977738
CNN-Aug,motif_top8_overlap_absolute,3,0.995,0.0,0.995,0.995,0.995,0.995
CNN-Aug,motif_mass_fraction_absolute,3,0.9494152268665247,0.0035362675433289682,0.9502753859097193,0.947901807562628,0.9513587256920186,0.952225397517858
CNN-Aug,motif_vs_background_absolute,3,12.163859144688047,0.19986058386133154,12.22273119747157,12.081953126152449,12.275201189615405,12.317177183330472
CNN-Aug,position_auprc_signed,3,0.9966547391708237,7.852576330817308e-05,0.9966856407481407,0.9966255521184288,0.996699377011877,0.996710366022866
CNN-Aug,position_auprc_absolute,3,0.9966015517518759,0.00016999420409034125,0.9966856407481407,0.9965457709900072,0.996699377011877,0.996710366022866
CNN-Pair,motif_start,3,46.95000000000001,8.702335715267317e-15,46.95,46.95,46.95,46.95
CNN-Pair,motif_end,3,54.95000000000001,8.702335715267317e-15,54.95,54.95,54.95,54.95
