model_type,metric,n,mean,std,median,q25,q75,p95
CNN-Aug,motif_start,600,46.95,27.456947632408355,45.0,23.75,74.25,88.0
CNN-Aug,motif_end,600,54.95,27.456947632408355,53.0,31.75,82.25,96.0
CNN-Aug,prediction_difference,600,0.0005501774946848128,0.0005935540746875286,0.00035539269447320003,0.00015518069267265,0.000782743096351575,0.0015496253967284398
CNN-Aug,prediction_consistency,600,0.9994498225053151,0.0005935540746875296,0.9996446073055267,0.9992172569036484,0.9998448193073272,0.9999689161777495
CNN-Aug,attribution_pearson_signed,600,0.9983614291871515,0.0009475423663023096,0.9985352519526896,0.9980351912811674,0.9989169680724075,0.999317309520216
CNN-Aug,attribution_pearson_absolute,600,0.9985018380030971,0.0007297276791401433,0.9986137355283555,0.9981643290488035,0.9989977287372486,0.9994000564075797
CNN-Aug,attribution_spearman_signed,600,0.5655857292866081,0.10399449097159152,0.5742579589220035,0.49377384814091924,0.6390254201408474,0.7282335554830686
CNN-Aug,attribution_spearman_absolute,600,0.6944740237889966,0.10194798902804833,0.7031360533550928,0.6298281123714704,0.7689407810561546,0.8414425187798111
CNN-Aug,attribution_cosine_signed,600,0.9984823402434146,0.0008527555060699831,0.998645346580546,0.9981861924790606,0.9989957748452241,0.9993616815513211
CNN-Aug,attribution_cosine_absolute,600,0.998628533406317,0.0006562920371996077,0.9987305485341522,0.9983169675906304,0.9990766908599471,0.9994421519305426
CNN-Aug,attribution_top8_overlap,600,1.0,0.0,1.0,1.0,1.0,1.0
CNN-Aug,attribution_full_matrix_pearson,600,0.9971168836735633,0.0012720424341246734,0.9973085129718849,0.9966839419181398,0.9977958362153377,0.9983456006614919
CNN-Aug,attribution_std_absolute,600,3.343542393644651,0.28972467265514684,3.3834880590438843,3.2664254903793335,3.504223048686981,3.620039653778076
CNN-Aug,motif_top8_overlap_signed,600,0.995,0.07059253153968889,1.0,1.0,1.0,1.0
CNN-Aug,motif_mass_fraction_signed,600,0.9566751884472666,0.05210731816797161,0.9614483287504779,0.9548582753777558,0.9666997228438978,0.9736342971751073
CNN-Aug,motif_vs_background_signed,600,12.216603141649307,1.1244994180950691,12.361513523095155,11.943011313099245,12.796012432804377,13.227652084786772
