task_id,analysis,model_type,n,auroc,auprc,prediction_mean_absolute_difference,prediction_median_absolute_difference,prediction_p95_absolute_difference,symmetry_flip_rate
p3_gata1_fetal,primary,CNN-Raw,610,0.8632840634238108,0.8168171799574877,0.0661960436949726,0.0517628468888889,0.1874796621666665,0.0770491803278688
p3_gata1_fetal,primary,CNN-Aug,610,0.8664337543671056,0.8226805019325358,0.0462795466630965,0.0342166216666667,0.1299488869444444,0.0491803278688524
p3_gata1_fetal,primary,CNN-RCPS,610,0.8635743079817253,0.817889375361994,0.0,0.0,0.0,0.0
p3_gata1_fetal,near_duplicate_removed,CNN-Raw,610,0.8631980650362807,0.8166547953995086,0.0651811573654462,0.0479689375555555,0.1781633680555555,0.0639344262295081
p3_gata1_fetal,near_duplicate_removed,CNN-Aug,610,0.8661220102123085,0.8170404912884086,0.0437730055362295,0.0307806305555555,0.1253055707777776,0.0540983606557377
p3_gata1_fetal,near_duplicate_removed,CNN-RCPS,610,0.8623488309594195,0.8135627036930801,0.0,0.0,0.0,0.0
p3_ctcf_gm12878,primary,CNN-Raw,9846,0.9756125296455522,0.9713886102867576,0.0365539225606673,0.0125326918333333,0.1555210863888889,0.0298598415600243
p3_ctcf_gm12878,primary,CNN-Aug,9846,0.9777139551778684,0.9735909416946652,0.0265754794517276,0.0088749487777778,0.11630060425,0.0199065610400162
p3_ctcf_gm12878,primary,CNN-RCPS,9846,0.9780461891929128,0.974762829915834,0.0,0.0,0.0,0.0
p3_ctcf_gm12878,near_duplicate_removed,CNN-Raw,9846,0.975710978522837,0.9720597732226408,0.033315643866557,0.0110523085555555,0.1475087503055555,0.0261019703432866
p3_ctcf_gm12878,near_duplicate_removed,CNN-Aug,9846,0.9778246998495498,0.973866210055964,0.0256180727102117,0.0087299673055555,0.1098815955555555,0.0190940483445053
p3_ctcf_gm12878,near_duplicate_removed,CNN-RCPS,9846,0.9782261699149224,0.9744201653550054,0.0,0.0,0.0,0.0
